True Beauty,2020,Comedy,87300000
Squid Game,2021,Thriller,87200000
Little Angel,2022,Animation,86200000
Manifest,2018,Thriller,86200000
Extraction,2020,Action,86100000
Lucifer,2016,Superhero,86100000
Lady Voyeur,2023,Crime,86000000
Woman of the Dead,2022,Crime,85400000
The Law According to Lidia Poët,2023,Drama,85000000
Florida Man,2023,Crime,84600000
Lucifer,2016,Superhero,84400000
Shahmaran,2023,Fantasy,83600000
Breaking Bad,2008,Crime,83200000
The Last Kingdom: Seven Kings Must Die,2023,History,83200000
Selling Sunset,2019,Reality-Show,82800000
Cocomelon,2020,Animation,82500000
Suits,2011,Drama,82500000
Sam & Cat,2013,Comedy,82400000
Gilmore Girls,2000,Drama,82100000
Sonic Prime,2022,Animation,82100000
Peppa Pig,2004,Animation,81800000
Manifest,2018,Thriller,81700000
Roald Dahl's Matilda the Musical,2022,Musical,81000000
Better Call Saul,2015,Crime,80800000
Sing,2016,Animation,80500000
Fighting Spirit,2000,Animation,80300000
All Quiet on the Western Front,2022,War,80000000
Hasta el cielo: La serie,2023,Crime,79700000
Alpha Males,2022,Comedy,78200000
Record of Ragnarok,2021,Animation,78200000
Chupa,2023,Adventure,77800000
Stranger Things,2016,Thriller,77800000
